turn,Advanced Stateless Bot,Lulu,ZacRockBot,JetskiBot,OmniTitanBot,ElixirSmartBot,HomerSimpson,bee_35,DeepDream,XDDDDDDD8,oldDeepDream,pOtAtO,Simubot_fast,DeepDream_multi_cargo,3.0 flash python,OmniBot,Simubot,beatz,GoldDigger,_L_,python-medium bot,Starter bot 7,Starter bot 8,BOB,Hero,QH bot,Move 1,Prolog smarter bot,vitamindaddyreturns2,Elixir starter bot,Apollo,Rust starter bot,3.0 flash elixir,GreedyTrader_9083,Leighton v2.2.6,bee_494
84,buy 35,move 7,buy 37,buy 37,move 2,move -7,move 0,move 3,DQ,move 7,move 1,move 0,move 0,move 5,move 1,move 0,move 0,buy 24,move 0,move 0,move 0,move 0,move 7,move 0,move -1,move 0,buy 0,move 0,move 0,move 0,buy 37,move -6,move 0,move 2,move -2,sell 37
85,move 7,move 7,move -6,move 7,buy 62,move -7,move 0,sell 37,DQ,move 7,buy 20,move 0,move 0,buy 37,sell 23,move 0,move 0,move 0,move 0,move 0,move 0,move 0,move -4,move 0,buy 37,move 0,buy 0,move 0,move 0,move 0,move -7,buy 32,move 0,sell 37,sell 37,move -7
86,move 2,move 5,sell 37,move 7,move -7,move -4,move 0,move 2,DQ,move 5,move 4,move 0,move 0,move -6,move -4,move 0,move 0,move 0,move 0,move 0,move 0,move 0,move 0,move 0,move -2,move 0,buy 0,move 0,move 0,move 0,move -7,move 7,move 0,move 5,move 2,buy 37
87,sell 35,sell 37,move -6,move 5,move -2,sell 37,move 0,buy 62,DQ,sell 37,sell 37,move 0,move 0,sell 37,buy 37,move 0,move 0,move 0,move 0,move 0,move 0,move 0,move 0,move 0,sell 37,move 0,buy 0,move 0,move 0,move 0,move -4,move 7,move 0,buy 37,buy 37,move -6
88,move -6,move 4,buy 37,sell 37,buy 37,move -5,move 0,move 3,DQ,move 0,move 4,move 0,move 0,move -6,move -7,move 0,move 0,move 0,move 0,move 0,move 0,move 0,move 0,move 0,move 2,move 0,buy 0,move 0,move 0,move 0,sell 37,move 2,move 0,move -6,move -2,sell 37
89,sell 2,buy 37,move 7,move -7,move 7,buy 37,move 0,buy 37,DQ,move 0,buy 37,move 0,move 0,buy 37,move -7,move 0,move 0,move 0,move 0,move 0,move 0,move 0,move 0,move 0,buy 37,move 0,buy 0,move 0,move 0,move 0,move 7,sell 37,move 0,sell 37,sell 37,move -3
90,move 0,move -7,move 7,buy 37,move 7,move 7,move 0,move -6,DQ,move 0,move -7,move 0,move 0,move 7,buy 36,move 0,move 0,move 0,move 0,move 0,move 0,move 0,move 0,move 0,move -2,move 0,buy 0,move 0,move 0,move 0,buy 37,move -7,move 0,move -2,move 2,move 4
91,move 0,move -7,move 5,move -6,move 5,move 2,move 0,sell 37,DQ,move 0,move -7,move 0,move 0,move 7,move -4,move 0,move 0,move 0,move 0,move 0,move 0,move 0,move 0,move 0,sell 37,move 0,buy 0,move 0,move 0,move 0,move -6,buy 37,move 0,move -1,buy 37,move 0
92,move 0,move -4,sell 37,sell 37,sell 37,buy 46,move 0,move -6,DQ,move 0,move -4,move 0,move 0,move 5,sell 37,move 0,move 0,move 0,move 0,move 0,move 0,move 0,move 0,move 0,move 3,move 0,buy 0,move 0,move 0,move 0,sell 37,move -7,move 0,buy 37,move -2,move 0
93,move 0,sell 37,move -7,move 3,move 1,move 7,move 0,buy 37,DQ,move 0,sell 37,move 0,move 0,sell 37,move -5,move 0,move 0,move 0,move 0,move 0,move 0,move 0,move 0,move 0,buy 10,move 0,buy 0,move 0,move 0,move 0,move 1,move -2,move 0,move 7,sell 37,move 0
94,move 0,move 0,buy 37,buy 50,move 1,move 3,move 0,move 7,DQ,move 0,move 0,move 0,move 0,move 0,buy 37,move 0,move 0,move 0,move 0,move 0,move 0,move 0,move 0,move 0,buy 0,move 0,buy 0,move 0,move 0,move 0,move 1,buy 19,move 0,move 6,move 0,move 0
